Iridium, choker, Starlet, Tall, Slim, Diamond-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Straight Bob with Layers, augmented breasts, Threader earrings, red, velvet lipstick, Lavender Lace Bra and Panty Set 
Ruthenium, tennis necklace, Enigma, Tall, Narrow Hips, Heart-Shaped Face, Fair Skin, White Hair, yellow Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Wavy Updo, saggy breasts, Threader earrings, black, velvet lipstick, Blue Strappy Bodysuit with Cutouts
Osmium, chain bracelet, Miss, Tall, Lean, Oval Face, Fair Skin, Black Hair, brown Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, round breasts, Dangle earrings, green, stain lipstick, Red Satin Kimono with Lace Sleeve Detail
Gold, toggle bracelet, Woman, Average Height, Thin, Triangular Face, Tan Skin, Golden Blonde Hair, grey Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Viking Braid, augmented breasts, Hoop earrings, cherry, satin lipstick, Lavender Lace Bra and Panty Set 
Cadmium, animal brooch, Phenom, Average Height, Slim, Triangular Face, Tan Skin, Strawberry Blonde Hair, gold Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Low Updo, round breasts, Drop earrings, soft pink, velvet lipstick, Pink Floral Corset
Iridium, anklet, Belle, Tall, Toned, Heart-Shaped Face, Fair Skin, Black Hair, Hazel Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Updo, soft breasts, Stud earrings, beige, satin lipstick, Black Sheer Teddy with Floral Applique
Rhenium, pearl necklace, Belle, Average Height, Thin, Heart-Shaped Face, Dark Skin, Silver Hair, purple Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Afro, asymmetrical breasts, Cuff earrings, fuchsia, satin lipstick, Purple Velvet Robe with Fur Trim 
Ruthenium, torc necklace, Madame, Tall, Firm, Round Face, Tan Skin, Platinum Blonde Hair, Hazel Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishtail Crown Braid, soft breasts, Threader earrings, golden, cream lipstick, Purple Velvet Slip with Lace Trim
Radium, multi-strand necklace, Artist, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, Gray Hair, silver Eyes, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Long Curled Updo, small breasts, Dangle earrings, lavender, satin lipstick, Crimson Velvet Cami and Short Set 
Gallium, slave bracelet, Maven, Average Height, Skinny, Heart-Shaped Face, Fair Skin, White Hair, hazel Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Top Knot, small breasts, Threader earrings, silver, sheer lipstick, White Lace Bralette and Boyshorts Set
Radium, ankle bracelet, Female Warrior, Average Height, Fit, Round Face, Fair Skin, Honey Blonde Hair, amethyst Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Coarse Hair, Fauxhawk, small breasts, Hoop earrings, black, gloss lipstick, Plum Satin and Lace Bustier 
Beryllium, flower brooch, Lady, Average Height, Firm, Heart-Shaped Face, Dark Skin, Blonde Hair, red Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, High Chignon, soft breasts, Stud earrings, peach, cream lipstick, Black Sheer Teddy with Floral Applique
Osmium, tennis necklace, Chanteuse, Short, Toned, Heart-Shaped Face, Olive Skin, Auburn Hair, gold Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Braided Crown, perky breasts, Clip-on earrings, soft pink, satin lipstick, Black Lace Bustier
Osmium, chain necklace, Artist, Tall, Narrow Hips, Square Face, Fair Skin, Gray Hair, teal Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Fishbone Braid, round breasts, Huggie earrings, gloss, matte lipstick, Plum Satin and Lace Bustier 
Cadmium, friendship bracelet, Goddess, Short, in shape, Heart-Shaped Face, Dark Skin, Light Brown Hair, black Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Braided Half Up, saggy breasts, Dangle earrings, brown, satin lipstick, Mint Green Mesh Teddy 
Ruthenium, brooch pin, Diva, Short, Toned, Oval Face, Olive Skin, Chestnut Hair, Brown Eyes with Green Flecks, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, High Bun, natural breasts, Faux gauge earrings, terracotta, matte lipstick, White Sheer Teddy with Lace Trim
Rhenium, pendant, Phenom, Average Height, Fit, Heart-Shaped Face, Tan Skin, Gray Hair, ruby Eyes, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Long Curly Hair, natural breasts, Clip-on earrings, mauve, velvet lipstick, Blue Satin and Lace Cami and Short Set
Rhodium, bib necklace, Countess, Tall, Firm, Heart-Shaped Face, Olive Skin, Brunette Hair, dark brown Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Sleek Bun, perky breasts, Faux gauge earrings, lavender, matte lipstick, White Satin and Lace Bra and Panty Set
Rhodium, tassel necklace, Femme fatale, Tall, Fit, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, jade Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Low Messy Bun, full breasts, Huggie earrings, black, gloss lipstick, Black Sheer Teddy with Floral Applique
Germanium, cocktail brooch, Escort, Average Height, in shape, Round Face, Fair Skin, Gray Hair, pink Eyes, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Shoulder-Length Curls, large breasts, Stud earrings, pink, metallic lipstick, Black Cutout Bodysuit with Zipper
Ruthenium, cocktail ring, Diva, Short, Toned, Heart-Shaped Face, Dark Skin, Red Hair, jade Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Braided Half Up, perky breasts, Threader earrings, teal, metallic lipstick, Black Cutout Bodysuit with Zipper
Tantalum, locket necklace, Trailblazer, Average Height, Fit, Heart-Shaped Face, Dark Skin, Brunette Hair, black Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Braided Half Up, firm breasts, Drop earrings, berry, stain lipstick, Navy Blue Satin Garter Belt with Suspenders 
Silver, ankle bracelet, Empress, Tall, in shape, Oval Face, Fair Skin, Silver Hair, teal Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Boho Braid, round breasts, Huggie earrings, black, cream lipstick, Orange Satin Slip
Rhenium, locket necklace, Belle, Average Height, Skinny, Heart-Shaped Face, Tan Skin, Chestnut Hair, dark brown Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Short Afro, augmented breasts, Threader earrings, gloss, stain lipstick, Gold Strappy Bodysuit
Ruthenium, beaded bracelet, Heiress, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, Black Hair, ruby Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Waterfall Braid, augmented breasts, Stud earrings, soft pink, gloss lipstick, Black Leather Bralette and Panty Set
Silver, necklace, Artist, Tall, in shape, Round Face, Dark Skin, Honey Blonde Hair, purple Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Side French Braid, asymmetrical breasts, Drop earrings, red, stain lipstick, Red Mesh Chemise with Strappy Back Detail
Beryllium, torc necklace, Gal, Tall, Lean, Round Face, Olive Skin, Light Brown Hair, amber Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Lace Braid, firm breasts, Hoop earrings, lavender, velvet lipstick, Blue Strappy Bodysuit with Cutouts
Ruthenium, pendant, Chanteuse, Average Height, Fit, Triangular Face, Tan Skin, Golden Blonde Hair, amber Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Loose Curls, full breasts, Hoop earrings, light pink, sheer lipstick, Red Mesh Chemise with Strappy Back Detail
Germanium, slave bracelet, Superwoman, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Light Brown Hair, teal Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Fauxhawk, natural breasts, Cuff earrings, rose, metallic lipstick, Green Satin and Lace Garter Belt with Matching Thong
Beryllium, brooch, Sensation, Short, Athletic, Triangular Face, Olive Skin, White Hair, teal Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Smooth Waves, full breasts, Threader earrings, golden, gloss lipstick, Ivory Lace Teddy
Platinum, bracelet, Dame, Average Height, Toned, Heart-Shaped Face, Olive Skin, Chestnut Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Fishtail Crown Braid, round breasts, Stud earrings, peach, matte lipstick, Purple Velvet Slip with Lace Trim
Beryllium, brooch, Babe, Short, Firm, Heart-Shaped Face, Fair Skin, Silver Hair, Sapphire Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Braided Crown, soft breasts, Dangle earrings, brown, satin lipstick, Navy Blue Satin Garter Belt with Suspenders 
Rhenium, tennis necklace, Escort, Tall, Skinny, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, peach Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Viking Braid, perky breasts, Huggie earrings, magenta, metallic lipstick, Grey Faux Leather Corset 
Beryllium, cocktail ring, Babe, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Bun, asymmetrical breasts, Clip-on earrings, plum, velvet lipstick, Red Mesh Chemise with Strappy Back Detail
Tantalum, slave bracelet, Miss, Tall, Narrow Hips, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, Brown Eyes with Green Flecks, Long Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Braided Headband, augmented breasts, Faux gauge earrings, grape, velvet lipstick, Purple Velvet Slip with Lace Trim
Osmium, pearl necklace, Dame, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Gray Hair, Blue Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, High Chignon, saggy breasts, Cuff earrings, pink, satin lipstick, Red Lace Bra and Panty Set with Garter Belt
Tantalum, choker, Seductress, Tall, Lean, Square Face, Tan Skin, Honey Blonde Hair, Gray Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, small breasts, Threader earrings, peach, stain lipstick, Black Sheer Teddy with Floral Applique
Germanium, cuff bracelet, Mistress, Average Height, Wide Hips, Round Face, Fair Skin, Red Hair, Brown Eyes with Green Flecks, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Headband, soft breasts, Dangle earrings, green, sheer lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Iridium, brooch, Vixen, Tall, Skinny, Heart-Shaped Face, Olive Skin, Silver Hair, brown Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Rope Braid, large breasts, Huggie earrings, terracotta, cream lipstick, Plum Satin and Lace Bustier 
Germanium, pearl necklace, Gal, Average Height, Wide Hips, Triangular Face, Dark Skin, Golden Blonde Hair, light blue Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Bouncy Curls, small breasts, Huggie earrings, light pink, sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Osmium, vintage brooch, Goddess, Average Height, Toned, Diamond-Shaped Face, Fair Skin, Blonde Hair, silver Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, French Roll, saggy breasts, Huggie earrings, terracotta, stain lipstick, White Satin and Lace Bra and Panty Set
Germanium, animal brooch, Trailblazer, Short, Slim, Round Face, Olive Skin, Red Hair, red Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Long Wavy Hair, round breasts, Dangle earrings, magenta, stain lipstick, Silver Sequin Bralette
Germanium, ankle cuff, Superwoman, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Blonde Hair, aquamarine Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Dutch Braid, full breasts, Stud earrings, violet, gloss lipstick, Brown Strappy Bodysuit
Beryllium, chain bracelet, Heiress, Average Height, Wide Hips, Diamond-Shaped Face, Fair Skin, Black Hair, light blue Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Curled Bob, large breasts, Drop earrings, nude, sheer lipstick, Black Cutout Bodysuit with Zipper
Rhodium, anklet, Visionary, Short, Wide Hips, Square Face, Tan Skin, White Hair, peach Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Bun, firm breasts, Faux gauge earrings, cherry, gloss lipstick, Grey Faux Leather Corset 
Cadmium, chain bracelet, Madame, Average Height, Fit, Oval Face, Fair Skin, Platinum Blonde Hair, coral Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Blunt Bangs, natural breasts, Threader earrings, teal, satin lipstick, Red Mesh Chemise with Strappy Back Detail
Iridium, beaded bracelet, Madam, Tall, Athletic, Oval Face, Dark Skin, Gray Hair, green Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Afro, augmented breasts, Faux gauge earrings, rose, cream lipstick, Red Mesh Chemise with Strappy Back Detail
Gallium, vintage brooch, Enchantress, Tall, Athletic, Heart-Shaped Face, Tan Skin, Gray Hair, red Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Blunt Bangs, asymmetrical breasts, Cuff earrings, shimmer, sheer lipstick, Maroon Satin and Lace Corset 
Tantalum, cocktail brooch, Diva, Tall, Wide Hips, Diamond-Shaped Face, Tan Skin, Light Brown Hair, purple Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Side Bangs, soft breasts, Dangle earrings, mauve, metallic lipstick, Black Cutout Bodysuit with Zipper
Rhodium, cocktail brooch, Countess, Tall, Wide Hips, Round Face, Fair Skin, Black Hair, Amber Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Straight Updo, augmented breasts, Huggie earrings, plum, velvet lipstick, Crimson Velvet Cami and Short Set 
Rhodium, torc necklace, Duchess, Average Height, Athletic, Heart-Shaped Face, Fair Skin, White Hair, Amber Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Sleek Bun, firm breasts, Drop earrings, plum, stain lipstick, White Sheer Teddy with Lace Trim
Osmium, brooch, Enigma, Average Height, Skinny, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, teal Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Fishtail Crown Braid, firm breasts, Hoop earrings, teal, stain lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Cadmium, ankle cuff, Seductress, Tall, Fit, Square Face, Fair Skin, Golden Blonde Hair, red Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Rope Braid, small breasts, Huggie earrings, soft pink, velvet lipstick, Black Lace Bustier
Ruthenium, watch bracelet, Trailblazer, Average Height, Fit, Heart-Shaped Face, Fair Skin, Auburn Hair, dark brown Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Double Braided Crown, full breasts, Dangle earrings, green, cream lipstick, Blue Sheer Babydoll with Satin Trim
Platinum, pendant, Temptress, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Red Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Ballerina Bun, saggy breasts, Hoop earrings, violet, velvet lipstick, Black Leather Bralette and Panty Set
Rhodium, cocktail brooch, Female Viking, Tall, Skinny, Square Face, Olive Skin, Auburn Hair, grey Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Fishbone Braid, saggy breasts, Cuff earrings, green, metallic lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Gold, tennis necklace, Luminary, Short, Athletic, Round Face, Dark Skin, Black Hair, red Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Rope Braid, large breasts, Threader earrings, terracotta, stain lipstick, Red Satin Kimono with Lace Sleeve Detail
Tantalum, pendant, Female Warrior, Average Height, Slim, Diamond-Shaped Face, Dark Skin, Light Brown Hair, purple Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, French Braid, round breasts, Faux gauge earrings, terracotta, velvet lipstick, Olive Green Mesh Garter Belt with Stockings
Indium, cuff bracelet, Siren, Tall, Lean, Round Face, Fair Skin, Strawberry Blonde Hair, brown Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Tapered Afro, round breasts, Huggie earrings, red, gloss lipstick, Pink Lace Chemise with Ruffle Details
Osmium, tennis bracelet, Goddess, Short, in shape, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Long Curly Hair, saggy breasts, Threader earrings, nude, gloss lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Rhodium, vintage brooch, Phenom, Tall, Lean, Diamond-Shaped Face, Olive Skin, Black Hair, green Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Wavy Hair, Straight Bob, augmented breasts, Stud earrings, rose, satin lipstick, Navy Blue Satin Garter Belt with Suspenders 
Ruthenium, pendant, Heiress, Average Height, Fit, Round Face, Olive Skin, Light Brown Hair, dark brown Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Fauxhawk, perky breasts, Huggie earrings, light pink, stain lipstick, Yellow Lace Halter Bralette and Thong Set
Gallium, bracelet, Luminary, Short, Toned, Heart-Shaped Face, Olive Skin, Brunette Hair, yellow Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Low Ponytail, firm breasts, Stud earrings, lavender, satin lipstick, Orange Satin Slip
Silver, statement necklace, Belle, Tall, Thin, Oval Face, Tan Skin, Blonde Hair, light blue Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Wavy Layered Bob, full breasts, Dangle earrings, orange, metallic lipstick, Cream Sequin Bra and Pant Set
Iridium, pendant, Diva, Tall, Athletic, Oval Face, Dark Skin, Blonde Hair, grey-blue Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Bob with Bangs, large breasts, Dangle earrings, black, gloss lipstick, Blue Sheer Babydoll with Satin Trim
Gold, friendship bracelet, Gal, Average Height, Slim, Square Face, Olive Skin, Red Hair, red Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Shaggy Cut, asymmetrical breasts, Cuff earrings, mauve, gloss lipstick, Black Leather Bralette and Panty Set
Ruthenium, animal brooch, Miss, Short, Narrow Hips, Oval Face, Dark Skin, Silver Hair, silver Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Fancy Updo, saggy breasts, Stud earrings, gloss, metallic lipstick, Red Mesh Chemise with Strappy Back Detail
Germanium, brooch pin, Madam, Average Height, Slim, Oval Face, Dark Skin, Silver Hair, peach Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Tousled Waves, soft breasts, Faux gauge earrings, magenta, sheer lipstick, Brown Strappy Bodysuit
